epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,3477.41,0.60358,0.31546,0.99676,0.98911,0.97034,0.99286,0.80327,0.81233,0.34782,1.27586,0.0010958,0.0010958,0.0010958
139,3502.61,0.59038,0.30548,0.99287,0.98739,0.99545,0.99466,0.80777,0.81028,0.31743,1.26725,0.0010892,0.0010892,0.0010892
140,3527.81,0.5764,0.30085,0.98727,0.99565,0.9702,0.99433,0.81079,0.77949,0.33595,1.22908,0.0010826,0.0010826,0.0010826
141,3553,0.57744,0.30029,0.9857,0.98926,0.97881,0.99458,0.81389,0.79265,0.33321,1.24303,0.001076,0.001076,0.001076
142,3578.31,0.57967,0.29384,0.99636,0.99489,0.98729,0.99467,0.7889,0.85617,0.34618,1.32904,0.0010694,0.0010694,0.0010694
143,3603.51,0.59449,0.30358,0.99321,0.99138,0.97465,0.99446,0.80827,0.81768,0.33642,1.28598,0.0010628,0.0010628,0.0010628
144,3628.49,0.58117,0.3036,0.99558,0.98712,0.97446,0.99409,0.78881,0.88396,0.35492,1.35084,0.0010562,0.0010562,0.0010562
145,3653.45,0.56709,0.28824,0.97765,0.97845,0.99576,0.99454,0.80458,0.8342,0.32366,1.30627,0.0010496,0.0010496,0.0010496
146,3678.76,0.58171,0.29353,0.99372,0.97904,0.98948,0.99449,0.79893,0.84214,0.34167,1.30461,0.001043,0.001043,0.001043
147,3704.13,0.58041,0.29981,0.98202,0.99261,0.97458,0.99438,0.8061,0.80912,0.35809,1.27026,0.0010364,0.0010364,0.0010364
148,3729.51,0.57683,0.30343,0.99127,0.97098,0.99235,0.99429,0.81969,0.7681,0.33187,1.23793,0.0010298,0.0010298,0.0010298
149,3754.66,0.57284,0.306,0.98767,1,0.97348,0.99446,0.81038,0.80028,0.34727,1.26106,0.0010232,0.0010232,0.0010232
150,3779.83,0.56504,0.29379,0.97618,0.99363,0.9661,0.99433,0.79347,0.83892,0.33541,1.31344,0.0010166,0.0010166,0.0010166
151,3805.1,0.59075,0.30383,0.99867,0.98668,0.98729,0.99449,0.81422,0.76678,0.32487,1.21376,0.00101,0.00101,0.00101
152,3830.15,0.55964,0.29118,0.97391,0.98676,0.99153,0.99487,0.80995,0.7853,0.31204,1.25526,0.0010034,0.0010034,0.0010034
153,3855.25,0.56161,0.29559,0.96882,0.99886,0.97881,0.9945,0.79454,0.81993,0.33722,1.3016,0.0009968,0.0009968,0.0009968
154,3880.69,0.56232,0.29966,0.97694,0.9957,0.98164,0.99479,0.78014,0.84151,0.33888,1.32929,0.0009902,0.0009902,0.0009902
155,3905.89,0.57251,0.29936,0.96886,0.9957,0.98179,0.9931,0.79738,0.80196,0.34737,1.27454,0.0009836,0.0009836,0.0009836
156,3931.1,0.56346,0.29502,0.9835,0.9813,0.99153,0.99466,0.80206,0.7894,0.33945,1.26718,0.000977,0.000977,0.000977
157,3956.02,0.54498,0.28762,0.9733,1,0.97009,0.99372,0.79873,0.81944,0.35235,1.30847,0.0009704,0.0009704,0.0009704
158,3981.35,0.54145,0.28534,0.96834,0.99152,0.99098,0.99487,0.81568,0.77462,0.30982,1.23793,0.0009638,0.0009638,0.0009638
159,4006.43,0.55184,0.29402,0.97564,0.99115,0.99576,0.99479,0.80441,0.79886,0.32459,1.26248,0.0009572,0.0009572,0.0009572
160,4031.55,0.55796,0.29267,0.98427,0.98316,0.98928,0.99462,0.7999,0.78317,0.32198,1.23996,0.0009506,0.0009506,0.0009506
161,4056.83,0.55208,0.28252,0.97585,0.97871,0.99576,0.99475,0.7948,0.83998,0.32111,1.31785,0.000944,0.000944,0.000944
162,4082.04,0.56053,0.2901,0.98019,0.98222,0.98729,0.99458,0.8068,0.79836,0.32811,1.27259,0.0009374,0.0009374,0.0009374
163,4107.24,0.55103,0.28892,0.97175,0.99144,0.98114,0.99466,0.77355,0.87365,0.35528,1.371,0.0009308,0.0009308,0.0009308
164,4132.38,0.54486,0.28814,0.96408,0.98291,0.99576,0.99479,0.80527,0.78464,0.32359,1.24983,0.0009242,0.0009242,0.0009242
165,4157.49,0.53782,0.26858,0.9596,0.99145,0.98214,0.99466,0.80568,0.80816,0.33637,1.30019,0.0009176,0.0009176,0.0009176
166,4182.94,0.54441,0.28236,0.97506,0.98318,0.99099,0.99479,0.80847,0.79239,0.31323,1.26586,0.000911,0.000911,0.000911
167,4208.06,0.55359,0.29281,0.97793,0.97923,0.99891,0.99458,0.78892,0.79481,0.32632,1.24478,0.0009044,0.0009044,0.0009044
168,4233.18,0.54305,0.28569,0.96904,0.97915,0.99514,0.9945,0.80149,0.80285,0.32716,1.28139,0.0008978,0.0008978,0.0008978
169,4258.24,0.55637,0.28866,0.97863,1,0.97678,0.99466,0.80762,0.78428,0.31106,1.25557,0.0008912,0.0008912,0.0008912
170,4283.48,0.54491,0.27908,0.97497,0.99571,0.98257,0.99463,0.80768,0.82453,0.33083,1.3024,0.0008846,0.0008846,0.0008846
171,4308.59,0.54939,0.28185,0.96989,0.9957,0.98091,0.99471,0.79693,0.845,0.317,1.33066,0.000878,0.000878,0.000878
172,4333.7,0.53186,0.27882,0.96265,0.99168,0.97881,0.99449,0.81187,0.80195,0.30972,1.29315,0.0008714,0.0008714,0.0008714
173,4358.83,0.52216,0.2748,0.96085,0.99477,0.97881,0.9945,0.81153,0.81026,0.32265,1.29443,0.0008648,0.0008648,0.0008648
174,4383.95,0.53824,0.27797,0.96796,0.99486,0.97881,0.99462,0.81853,0.78033,0.31226,1.24924,0.0008582,0.0008582,0.0008582
175,4409.17,0.53697,0.27735,0.9662,0.9962,0.97034,0.99411,0.80469,0.80775,0.33147,1.29079,0.0008516,0.0008516,0.0008516
176,4434.34,0.53227,0.26684,0.96761,0.99028,0.97881,0.99398,0.81029,0.79356,0.32409,1.275,0.000845,0.000845,0.000845
177,4459.71,0.52105,0.2683,0.96466,0.99145,0.98303,0.99466,0.81316,0.80328,0.32824,1.28649,0.0008384,0.0008384,0.0008384
178,4484.78,0.52376,0.27661,0.96351,0.98693,0.98305,0.99386,0.80602,0.81828,0.3279,1.30236,0.0008318,0.0008318,0.0008318
179,4509.99,0.53119,0.27371,0.95648,0.99854,0.98305,0.99479,0.80867,0.83773,0.32008,1.33685,0.0008252,0.0008252,0.0008252
